TimeOfDay,Power_Consumed,Luminous_Efficacy
12:00AM,26.753,89.832
12:01AM,31.939,66.802
12:02AM,31.234,59.204
12:03AM,34.982,81.302
12:04AM,43.708,68.5
12:05AM,38.402,85.846
12:06AM,44.372,67.368
12:07AM,34.502,55.112
12:08AM,47.11,69.692
12:09AM,33.653,81.483
12:10AM,39.304,76.26
12:11AM,40.528,73.692
12:12AM,47.255,64.903
12:13AM,35.204,78.218
12:14AM,35.546,92.576
12:15AM,45.531,78.226
12:16AM,47.202,67.89
12:17AM,33.17,55.856
12:18AM,39.939,66.225
12:19AM,31.153,59.897
12:20AM,34.98,69.086
12:21AM,33.577,63.912
12:22AM,185.423,106.327
12:23AM,30.249,85.967
12:24AM,36.04,62.441
12:25AM,41.615,84.368
12:26AM,29.067,75.663
12:27AM,41.183,89.648
12:28AM,35.533,58.882
12:29AM,37.75,65.553
12:30AM,28.217,97.033
12:31AM,176.271,94.759
12:32AM,46.894,74.505
12:33AM,45.804,78.901
12:34AM,31.982,64.517
12:35AM,40.38,55.11
12:36AM,47.199,66.202
12:37AM,45.909,62.444
12:38AM,46.406,54.581
12:39AM,40.392,76.14
12:40AM,29.908,57.524
12:41AM,39.233,90.977
12:42AM,29.092,88.565
12:43AM,28.889,97.719
12:44AM,29.749,62.182
12:45AM,33.693,67.801
12:46AM,352.892,68.044
12:47AM,31.83,70.031
12:48AM,35.688,69.022
12:49AM,29.44,67.274
12:50AM,27.913,78.318
12:51AM,37.836,59.118
12:52AM,38.536,92.281
12:53AM,36.259,66.109
12:54AM,29.693,78.634
12:55AM,27.762,76.958
12:56AM,37.401,87.83
12:57AM,34.536,99.904
12:58AM,28.082,100.737
12:59AM,52.955,58.861
1:00AM,29.419,72.062
1:01AM,34.378,71.115
1:02AM,34.805,70.644
1:03AM,30.62,78.151
1:04AM,31.524,53.692
1:05AM,32.388,67.189
1:06AM,38.449,72.502
1:07AM,34.276,65.328
1:08AM,29.602,77.273
1:09AM,34.709,63.272
1:10AM,28.194,82.333
1:11AM,32.377,64.877
1:12AM,27.297,76.222
1:13AM,33.806,55.548
1:14AM,27.124,66.917
1:15AM,34.334,91.195
1:16AM,38.269,80.497
1:17AM,31.107,63.139
1:18AM,37.809,53.648
1:19AM,40.101,83.67
1:20AM,33.551,69.136
1:21AM,41.098,65.127
1:22AM,31.628,80.709
1:23AM,32.835,88.026
1:24AM,31.032,79.373
1:25AM,35.908,82.148
1:26AM,30.513,68.194
1:27AM,39.749,55.086
1:28AM,36.667,82.719
