TimeOfDay,Power_Generated,Temperature,Voltage
12:01AM,0,10.106,207.972
12:02AM,0,11.29,233.515
12:03AM,0,10.949,247.709
12:04AM,0,12.19,260.111
12:05AM,0,11.015,276.445
12:06AM,0,9.762,235.246
12:07AM,0,11.04,258.941
12:08AM,0,11.196,267.908
12:09AM,0,8.988,255.435
12:10AM,0,11.798,247.901
12:11AM,0,10.59,271.548
12:12AM,0,9.425,249.765
12:13AM,0,10.287,226.869
12:14AM,0,9.197,208.086
12:15AM,0,10.777,202.556
12:16AM,0,9.452,251.695
12:17AM,0,8.896,224.401
12:18AM,0,10.524,211.851
12:19AM,0,10.974,265.346
12:20AM,0,11.994,249.027
12:21AM,0,10.746,271.158
12:22AM,0,10.654,232.563
12:23AM,0,11.632,232.183
12:24AM,0,9.488,279.28
12:25AM,0,10.463,238.61
12:26AM,0,10.884,204.727
12:27AM,0,11.447,280.981
12:28AM,0,12.04,263.863
12:29AM,0,11.202,196.302
12:30AM,0,8.309,255.118
12:31AM,0,11.82,251.26
12:32AM,0,9.056,253.301
12:33AM,0,8.81,196.523
12:34AM,0,9.118,237.299
12:35AM,0,8.46,275.875
12:36AM,0,8.367,290.773
12:37AM,0,7.922,291.606
12:38AM,0,11.07,205.116
12:39AM,0,10.999,259.962
12:40AM,0,10.904,277.485
12:41AM,0,8.864,274.546
12:42AM,0,9.522,235.403
12:43AM,0,9.127,228.73
12:44AM,0,8.478,244.552
12:45AM,0,11.591,250.633
12:46AM,0,11.094,280.955
12:47AM,0,10.987,260.979
12:48AM,0,11.336,199.736
12:49AM,0,8.706,212.564
12:50AM,0,8.237,241.094
12:51AM,0,8.978,233.68
12:52AM,0,9.181,291.933
12:53AM,0,9.635,259.916
12:54AM,0,8.513,269.163
12:55AM,0,11.407,277.577
12:56AM,0,10.132,272.244
12:57AM,0,8.838,288.188
12:58AM,0,8.902,293.06
12:59AM,0,9.379,232.628
1:00AM,0,8.664,217.533
1:01AM,0,11.37,219.755
1:02AM,0,11.793,283.057
1:03AM,0,11.766,257.806
1:04AM,0,11.438,232.868
1:05AM,0,9.917,257.192
1:06AM,0,9.64,293.098
1:07AM,0,8.656,259.793
1:08AM,0,11.899,278.455
1:09AM,0,8.667,201.392
1:10AM,0,8.094,290.423
1:11AM,0,11.505,223.737
1:12AM,0,8.828,228.259
1:13AM,0,11.182,289.427
1:14AM,0,9.567,257.432
1:15AM,0,11.915,234.301
1:16AM,0,10.316,268.232
1:17AM,0,9.084,288.897
1:18AM,0,10.326,195.356
1:19AM,0,11.451,280.167
1:20AM,0,9.389,269.951
1:21AM,0,10.856,283.402
1:22AM,0,11.863,290.62
1:23AM,0,11.127,221.151
1:24AM,0,9.617,254.846
1:25AM,0,9.058,270.671
1:26AM,0,9.005,292.461
1:27AM,0,11.839,251.905
1:28AM,0,8.138,269.135
1:29AM,0,8.934,223.5
1:30AM,0,11.486,229.571
1:31AM,0,8.465,236.163
1:32AM,0,8.447,258.722
1:33AM,0,9.913,290.965
1:34AM,0,9.883,271.504
1:35AM,0,8.273,277.05
1:36AM,0,9.327,223.378
1:37AM,0,10.126,251.716
1:38AM,0,11.781,232.47
1:39AM,0,10.09,260.931
1:40AM,0,10.542,266.027
1:41AM,0,11.123,283.566
1:42AM,0,11.211,223.276
