TimeOfDay,Power_Generated,Temperature,Voltage
12:01AM,0,11.416,208.214
12:02AM,0,10.005,256.304
12:03AM,0,11.762,286.236
12:04AM,0,9.112,246.206
12:05AM,0,8.23,259.629
12:06AM,0,8.614,256.874
12:07AM,0,12.126,228.065
12:08AM,0,11.196,240.756
12:09AM,0,8.576,197.798
12:10AM,0,11.238,219.969
12:11AM,0,10.929,274.542
12:12AM,0,9.094,211.626
12:13AM,0,10.177,237.758
12:14AM,0,9.478,281.047
12:15AM,0,10.939,285.444
12:16AM,0,10.663,199.241
12:17AM,0,11.415,262.686
12:18AM,0,10.152,206.506
12:19AM,0,8.986,199.428
12:20AM,0,11.038,228.272
12:21AM,0,9.001,206.721
12:22AM,0,12.114,248.357
12:23AM,0,8.647,270.906
12:24AM,0,10.132,254.546
12:25AM,0,10.594,257.795
12:26AM,0,9.878,200.841
12:27AM,0,11.752,242.239
12:28AM,0,11.153,287.737
12:29AM,0,10.626,213.243
12:30AM,0,11.075,197.298
12:31AM,0,9.66,271.442
12:32AM,0,9.26,204.575
12:33AM,0,11.193,262.755
12:34AM,0,9.553,240.728
12:35AM,0,11.767,223.218
12:36AM,0,8.698,278.782
12:37AM,0,9.203,268.421
12:38AM,0,8.693,272.325
12:39AM,0,10.49,239.462
12:40AM,0,8.393,228.952
12:41AM,0,7.848,233.396
12:42AM,0,9.259,205.57
12:43AM,0,8.283,226.94
12:44AM,0,10.516,260.222
12:45AM,0,8.366,247.508
12:46AM,0,10.66,277.228
12:47AM,0,9.692,239.069
12:48AM,0,8.731,234.826
12:49AM,0,8.413,217.835
12:50AM,0,8.794,258.497
12:51AM,0,10.256,256.112
12:52AM,0,8.005,230.209
12:53AM,0,9.907,248.764
12:54AM,0,8.949,200.759
12:55AM,0,11.605,258.431
12:56AM,0,10.456,197.355
12:57AM,0,11.285,286.453
12:58AM,0,10.131,262.521
12:59AM,0,8.146,272.003
1:00AM,0,10.071,218.211
1:01AM,0,11.455,282.689
1:02AM,0,11.743,204.596
1:03AM,0,8.131,206.455
1:04AM,0,11.876,215.373
1:05AM,0,10.006,214.388
1:06AM,0,11.264,223.515
1:07AM,0,8.831,244.572
1:08AM,0,11.07,231.891
1:09AM,0,8.192,203.162
1:10AM,0,9.92,291.573
1:11AM,0,8.441,196.432
1:12AM,0,9.335,236.954
1:13AM,0,11.554,197.808
1:14AM,0,8.234,255.593
1:15AM,0,8.364,284.005
1:16AM,0,9.316,198.283
1:17AM,0,10.093,219.567
1:18AM,0,8.954,225.076
1:19AM,0,10.72,204.611
1:20AM,0,11.816,280.177
1:21AM,0,8.407,249.137
1:22AM,0,10.414,277.668
1:23AM,0,11.916,211.069
1:24AM,0,8.909,285.025
1:25AM,0,8.858,209.55
1:26AM,0,9.249,260.623
1:27AM,0,11.98,264.682
1:28AM,0,9.806,288.899
1:29AM,0,8.327,280.28
1:30AM,0,10.35,259.503
1:31AM,0,10.599,283.546
1:32AM,0,10.156,286.219
1:33AM,0,11.099,240.576
1:34AM,0,10.127,228.003
1:35AM,0,10.885,221.22
1:36AM,0,8.889,195.14
1:37AM,0,11.318,228.159
1:38AM,0,8.206,288.108
1:39AM,0,11.862,258.091
1:40AM,0,9.512,245.511
1:41AM,0,9.872,233.015
1:42AM,0,9.667,251.535
1:43AM,0,8.39,261.045
1:44AM,0,11.194,247.326
1:45AM,0,9.539,240.409
1:46AM,0,8.621,266.481
1:47AM,0,9.527,278.06
1:48AM,0,10.073,267.649
1:49AM,0,11.499,253.478
1:50AM,0,11.795,250.847
1:51AM,0,9.735,231.476
1:52AM,0,8.229,198.853
1:53AM,0,9.335,222.481
1:54AM,0,9.113,206.31
1:55AM,0,11.671,196.843
1:56AM,0,8.801,257.936
1:57AM,0,11.05,272.413
1:58AM,0,11.541,292.347
