TimeOfDay,Power_Consumed,Luminous_Efficacy
12:00AM,25.533,71.933
12:01AM,26.8,62.064
12:02AM,26.967,87.254
12:03AM,28.05,87.933
12:04AM,26.75,71.864
12:05AM,27.817,77.737
12:06AM,25.85,77.412
12:07AM,30.967,81.183
12:08AM,30.683,83.614
12:09AM,31.483,65.674
12:10AM,31.833,79.782
12:11AM,31.583,65.314
12:12AM,31.833,63.692
12:13AM,31.3,60.518
12:14AM,31.217,87.459
12:15AM,31.2,75.046
12:16AM,31.183,84.382
12:17AM,30.667,68.448
12:18AM,29.167,63.823
12:19AM,29.1,84.802
12:20AM,28.117,82.213
12:21AM,28.317,76.603
12:22AM,28.783,70.967
12:23AM,28.833,82.415
12:24AM,29.167,79.225
12:25AM,28.783,72.115
12:26AM,28.667,83.836
12:27AM,28.217,88.925
12:28AM,29.117,84.957
12:29AM,29.2,87.341
12:30AM,28.433,77.295
12:31AM,30.5,78.453
12:32AM,30.133,69.923
12:33AM,30.367,74.05
12:34AM,31.1,77.632
12:35AM,30.517,61.638
12:36AM,30.9,69.106
12:37AM,30.917,67.592
12:38AM,31.617,71.638
12:39AM,31.667,74.736
12:40AM,31.483,62.711
12:41AM,29.717,85.793
12:42AM,29,64.871
12:43AM,28,75.776
12:44AM,28.25,89.017
12:45AM,28.25,77.228
12:46AM,28.467,79.653
12:47AM,28.867,88.772
12:48AM,27.917,86.159
12:49AM,27.9,81.321
12:50AM,27.483,73.036
12:51AM,28.483,66.46
12:52AM,28.717,83.442
12:53AM,27.2,62.755
12:54AM,29.4,78.577
12:55AM,30.883,79.271
12:56AM,31.333,76.04
12:57AM,31.117,87.351
12:58AM,31.533,69.943
12:59AM,31.033,76.921
1:00AM,31.083,83.673
1:01AM,31.333,69.001
1:02AM,31.333,75.177
1:03AM,31.233,80.754
1:04AM,31.183,68.963
1:05AM,30.733,71.144
1:06AM,29.167,71.686
1:07AM,29.233,75.931
1:08AM,29.267,65.622
1:09AM,28.6,62.601
1:10AM,28.317,79.385
1:11AM,28.7,75.163
1:12AM,27.9,63.56
1:13AM,27.933,61.071
1:14AM,28.333,84.367
1:15AM,27.917,70.918
1:16AM,27.467,77.942
1:17AM,27.967,74.097
1:18AM,28.05,62.681
1:19AM,29.65,79.3
1:20AM,30.45,64.614
1:21AM,31.733,89.029
1:22AM,31.4,86.836
1:23AM,30.717,62.712
1:24AM,31.767,89.512
1:25AM,31.75,60.396
1:26AM,31.55,66.829
1:27AM,31.517,65.619
1:28AM,31.45,85.364
1:29AM,29.6,82.23
1:30AM,29.2,67.829
1:31AM,28.783,60.085
1:32AM,29.15,82.017
1:33AM,28.8,74.251
1:34AM,28.367,71.677
1:35AM,28,62.18
1:36AM,28.233,85.616
1:37AM,28.35,63.121
1:38AM,28.267,88.551
1:39AM,28.3,82.081
1:40AM,28.783,88.163
1:41AM,28.017,73.927
1:42AM,27.683,86.296
1:43AM,29.233,70.01
1:44AM,30.267,68.044
1:45AM,31.133,74.486
