TimeOfDay,Power_Consumed,Luminous_Efficacy
12:00AM,31.687,77.089
12:01AM,30.247,75.459
12:02AM,32.523,58.904
12:03AM,29.208,73.905
12:04AM,45.17,68.147
12:05AM,42.373,90.194
12:06AM,37.657,91.326
12:07AM,38.923,58.993
12:08AM,39.819,92.967
12:09AM,41.3,71.849
12:10AM,36.123,91.738
12:11AM,43.38,90.627
12:12AM,48.867,85.393
12:13AM,45.87,72.284
12:14AM,43.646,71.12
12:15AM,36.544,85.402
12:16AM,49.416,95.49
12:17AM,37.466,55.852
12:18AM,33.1,69.316
12:19AM,32.7,55.634
12:20AM,30.945,88.328
12:21AM,32.475,74.351
12:22AM,188.993,101.173
12:23AM,30.575,66.364
12:24AM,35.761,74.977
12:25AM,41.596,80.545
12:26AM,39.162,98.387
12:27AM,29.332,88.166
12:28AM,41.453,66.862
12:29AM,40.938,77.088
12:30AM,33.171,85.818
12:31AM,196.82,87.52
12:32AM,39.415,76.303
12:33AM,45.854,70.647
12:34AM,39.537,72.992
12:35AM,33.988,65.949
12:36AM,40.642,57.977
12:37AM,46.039,68.161
12:38AM,39.166,74.611
12:39AM,32.405,55.583
12:40AM,39.338,65.562
12:41AM,37.121,90.374
12:42AM,33.234,76.245
12:43AM,35.557,79.632
12:44AM,38.717,71.536
12:45AM,28.254,74.689
12:46AM,340.972,59.09
12:47AM,38.086,71.058
12:48AM,26.927,72.673
12:49AM,27.381,67.245
12:50AM,39.015,88.433
12:51AM,35.996,52.06
12:52AM,37.188,77.209
12:53AM,27.009,67.161
12:54AM,38.002,78.07
12:55AM,33.356,97.413
12:56AM,34.929,87.396
12:57AM,31.891,101.541
12:58AM,39.48,75.88
12:59AM,42.474,86.454
1:00AM,37.131,89.368
1:01AM,34.911,50.357
1:02AM,30.367,82.49
1:03AM,38.057,75.87
1:04AM,34.054,52.938
1:05AM,30.661,78.721
1:06AM,37.968,90.011
1:07AM,26.432,73.521
1:08AM,35.429,82.053
1:09AM,35.839,56.715
1:10AM,32.094,67.198
1:11AM,30.58,57.216
1:12AM,26.121,75.448
1:13AM,26.242,53.277
1:14AM,38.224,52.284
1:15AM,37.095,91.908
1:16AM,33.79,77.034
1:17AM,36.856,73.848
1:18AM,28.293,72.277
1:19AM,40.492,69.616
1:20AM,34.042,79.155
1:21AM,39.049,86.173
1:22AM,33.139,80.785
1:23AM,27.908,65.966
1:24AM,39.462,64.695
1:25AM,30.267,72.732
1:26AM,33.566,92.055
1:27AM,34.664,57.206
1:28AM,31.758,63.87
1:29AM,27.418,97.71
1:30AM,32.903,76.019
1:31AM,28.147,66.535
1:32AM,30.21,60.116
1:33AM,28.079,84.745
1:34AM,34.289,71.51
1:35AM,36.607,104.478
1:36AM,32.266,62.835
1:37AM,35.528,65.861
1:38AM,33.063,92.424
