TimeOfDay,Power_Consumed,Luminous_Efficacy
12:00AM,31.758,88.87
12:01AM,26.269,73.197
12:02AM,27.849,63.397
12:03AM,26.116,80.255
12:04AM,31.796,75.413
12:05AM,37.427,85.022
12:06AM,32.174,86.226
12:07AM,43.197,58.89
12:08AM,39.524,90.509
12:09AM,40.271,86.186
12:10AM,48.062,99.802
12:11AM,47.752,83.391
12:12AM,38.41,89.275
12:13AM,34.7,77.214
12:14AM,38.498,90.428
12:15AM,47.309,82.365
12:16AM,42.971,78.018
12:17AM,40.723,74.801
12:18AM,43.937,62.048
12:19AM,30.143,56.583
12:20AM,41.301,69.7
12:21AM,35.957,82.069
12:22AM,146.66,87.969
12:23AM,43.453,73.702
12:24AM,34.121,57.726
12:25AM,42.625,75.437
12:26AM,39.119,100.176
12:27AM,29.657,81.021
12:28AM,28.873,64.301
12:29AM,34.41,63.671
12:30AM,30.748,71.863
12:31AM,161.296,71.349
12:32AM,33.779,68.682
12:33AM,33.437,76.336
12:34AM,33.761,90.766
12:35AM,38.506,72.901
12:36AM,42.267,55.448
12:37AM,41.04,77.065
12:38AM,39.133,74.412
12:39AM,38.827,75.913
12:40AM,42.95,67.724
12:41AM,40.726,103.534
12:42AM,27.229,70.654
12:43AM,34.47,99.624
12:44AM,31.253,84.469
12:45AM,35.81,69.314
12:46AM,243.26,68.144
12:47AM,27.713,73.99
12:48AM,38.649,65.149
12:49AM,35.559,56.378
12:50AM,31.209,78.009
12:51AM,30.966,59.979
12:52AM,37.616,70.02
12:53AM,36.478,70.094
12:54AM,29.626,69.762
12:55AM,30.152,68.132
12:56AM,27.973,80.823
12:57AM,35.123,92.544
12:58AM,30.601,80.365
12:59AM,41.865,81.454
1:00AM,35.009,78.095
1:01AM,31.549,55.18
1:02AM,30.216,65.174
1:03AM,39.549,67.807
1:04AM,29.752,66.942
1:05AM,36.112,58.223
1:06AM,29.606,83.481
1:07AM,30.922,62.721
1:08AM,28.506,79.561
1:09AM,27.313,50.684
1:10AM,33.136,61.993
1:11AM,33.14,75.504
1:12AM,34.936,90.431
1:13AM,30.44,63.292
1:14AM,26.617,64.197
1:15AM,33.913,84.916
1:16AM,30.539,105.477
1:17AM,33.565,65.499
1:18AM,27.322,56.801
1:19AM,31.378,86.598
1:20AM,29.768,78.451
1:21AM,30.983,79.428
1:22AM,37.413,65.265
1:23AM,38.545,88.083
1:24AM,31.49,83.527
1:25AM,34.167,85.591
1:26AM,30.447,66.567
1:27AM,31.144,57.991
1:28AM,38.317,65.019
1:29AM,34.397,82.368
1:30AM,34.769,68.145
1:31AM,23.932,72.552
1:32AM,27.872,76.305
1:33AM,34.87,71.194
1:34AM,35.212,61.353
1:35AM,31.86,71.389
1:36AM,26.959,57.134
1:37AM,36.469,68.45
1:38AM,38.292,71.568
1:39AM,28.997,78.653
1:40AM,37.481,88.437
1:41AM,28.174,59.942
1:42AM,27.022,81.828
1:43AM,35.007,67.477
1:44AM,38.045,56.307
1:45AM,32.546,81.904
1:46AM,35.969,77.458
1:47AM,31.064,80.597
1:48AM,38.847,88.989
1:49AM,33.001,91.791
1:50AM,34.379,87.307
1:51AM,40.952,75.32
1:52AM,35.335,79.172
1:53AM,38.735,88.811
1:54AM,29.585,82.791
1:55AM,31.027,95.95
1:56AM,25.932,59.331
1:57AM,32.793,66.067
1:58AM,28.483,98.426
1:59AM,33.605,83.737
2:00AM,31.027,82.727
2:01AM,32.922,87.335
2:02AM,465.73,85.929
2:03AM,463.708,57.504
2:04AM,5590.698,74.008
2:05AM,275.798,75.39
2:06AM,35.994,63.23
2:07AM,27.173,82.105
2:08AM,35.257,75.935
2:09AM,32.949,79.481
2:10AM,39.083,74.393
2:11AM,27.3,57.5
2:12AM,38.694,64.597
2:13AM,38.143,62.777
2:14AM,30.964,63.892
2:15AM,34.777,79.456
2:16AM,40.057,97.809
2:17AM,30.428,60.934
2:18AM,37.008,68.277
2:19AM,36.086,89.508
2:20AM,36.017,74.925
2:21AM,36.919,63.718
2:22AM,29.921,50.833
2:23AM,25.337,65.216
2:24AM,36.668,51.304
2:25AM,28.629,71.533
2:26AM,30.355,72.775
2:27AM,30.581,100.174
2:28AM,28.906,57.748
2:29AM,30.921,67.49
2:30AM,34.507,86.582
